CUSTOMER_ID,FULL_NAME,EMAIL,TIER,LOYALTY_POINTS,LIFETIME_VALUE,AVATAR_URL,JOIN_DATE
C-1022,Customer 22,cust22@example.com,Gold,656,6094.92,https://pravatar.cc22,2023-11-03
C-1023,Customer 23,cust23@example.com,Platinum,916,7207.62,https://pravatar.cc23,2023-04-27
C-1024,Customer 24,cust24@example.com,Gold,3470,6651.58,https://pravatar.cc24,2023-12-18
C-1025,Customer 25,cust25@example.com,Gold,4678,8596.71,https://pravatar.cc25,2023-08-25
C-1026,Customer 26,cust26@example.com,Silver,3621,13303.28,https://pravatar.cc26,2023-10-14
C-1027,Customer 27,cust27@example.com,Platinum,4362,8059.73,https://pravatar.cc27,2023-02-01
C-1028,Customer 28,cust28@example.com,Silver,718,5559.87,https://pravatar.cc28,2023-05-20
C-1029,Customer 29,cust29@example.com,Gold,3197,1535.17,https://pravatar.cc29,2023-02-21
C-1030,Customer 30,cust30@example.com,Platinum,1004,4116.73,https://pravatar.cc30,2023-08-18
C-1031,Customer 31,cust31@example.com,Gold,4891,2870.73,https://pravatar.cc31,2023-01-14
C-1032,Customer 32,cust32@example.com,Gold,3411,13206.74,https://pravatar.cc32,2023-02-17
C-1033,Customer 33,cust33@example.com,Standard,4958,5829.1,https://pravatar.cc33,2023-02-14
C-1034,Customer 34,cust34@example.com,Silver,1078,13851.01,https://pravatar.cc34,2023-01-05
C-1035,Customer 35,cust35@example.com,Platinum,4878,10292.49,https://pravatar.cc35,2023-06-09
C-1036,Customer 36,cust36@example.com,Standard,4315,1546.6,https://pravatar.cc36,2023-02-09
C-1037,Customer 37,cust37@example.com,Silver,2868,994.24,https://pravatar.cc37,2023-04-23
C-1038,Customer 38,cust38@example.com,Silver,4080,4222.75,https://pravatar.cc38,2023-03-08
C-1039,Customer 39,cust39@example.com,Gold,3628,8795.42,https://pravatar.cc39,2023-07-29
C-1040,Customer 40,cust40@example.com,Gold,4154,12267.58,https://pravatar.cc40,2023-10-20
C-1041,Customer 41,cust41@example.com,Silver,807,2284.33,https://pravatar.cc41,2023-05-02
C-1042,Customer 42,cust42@example.com,Platinum,4350,4036.02,https://pravatar.cc42,2023-07-26
C-1043,Customer 43,cust43@example.com,Standard,3339,10129.21,https://pravatar.cc43,2023-11-06
C-1044,Customer 44,cust44@example.com,Gold,2737,8081.41,https://pravatar.cc44,2023-09-25
C-1045,Customer 45,cust45@example.com,Platinum,4881,14293.16,https://pravatar.cc45,2023-01-13
C-1046,Customer 46,cust46@example.com,Silver,2321,5601.84,https://pravatar.cc46,2023-01-25
C-1047,Customer 47,cust47@example.com,Gold,625,6874.03,https://pravatar.cc47,2023-04-28
C-1048,Customer 48,cust48@example.com,Platinum,1503,2848.78,https://pravatar.cc48,2023-09-23
C-1049,Customer 49,cust49@example.com,Silver,4336,5693.09,https://pravatar.cc49,2023-01-10
C-1050,Customer 50,cust50@example.com,Platinum,2665,2724.07,https://pravatar.cc50,2023-07-07
C-1051,Customer 51,cust51@example.com,Platinum,486,13770.01,https://pravatar.cc51,2023-09-07
C-1052,Customer 52,cust52@example.com,Gold,3374,2520.45,https://pravatar.cc52,2023-03-28
C-1053,Customer 53,cust53@example.com,Silver,3706,7706.18,https://pravatar.cc53,2023-05-18
C-1054,Customer 54,cust54@example.com,Silver,4313,8694.48,https://pravatar.cc54,2023-04-18
C-1055,Customer 55,cust55@example.com,Platinum,2489,2050.72,https://pravatar.cc55,2023-01-13
C-1056,Customer 56,cust56@example.com,Standard,3962,5052.97,https://pravatar.cc56,2023-06-23
C-1057,Customer 57,cust57@example.com,Gold,1115,4842.99,https://pravatar.cc57,2023-08-05
C-1058,Customer 58,cust58@example.com,Gold,4591,9035.2,https://pravatar.cc58,2023-09-20
C-1059,Customer 59,cust59@example.com,Silver,4818,12317.09,https://pravatar.cc59,2023-04-15
C-1060,Customer 60,cust60@example.com,Silver,4501,726.94,https://pravatar.cc60,2023-02-21
C-1061,Customer 61,cust61@example.com,Standard,2772,8719.27,https://pravatar.cc61,2023-07-12
C-1062,Customer 62,cust62@example.com,Standard,110,1969.11,https://pravatar.cc62,2023-10-16
C-1063,Customer 63,cust63@example.com,Silver,1409,13731.27,https://pravatar.cc63,2023-11-13
C-1064,Customer 64,cust64@example.com,Platinum,1417,1490.35,https://pravatar.cc64,2023-07-29
C-1065,Customer 65,cust65@example.com,Standard,1874,10307.28,https://pravatar.cc65,2023-11-11
C-1066,Customer 66,cust66@example.com,Platinum,4210,4268.29,https://pravatar.cc66,2023-07-16
C-1067,Customer 67,cust67@example.com,Silver,3564,3258.43,https://pravatar.cc67,2023-03-19
C-1068,Customer 68,cust68@example.com,Gold,240,13115.93,https://pravatar.cc68,2023-06-27
C-1069,Customer 69,cust69@example.com,Gold,2594,7618.81,https://pravatar.cc69,2023-09-13
C-1070,Customer 70,cust70@example.com,Platinum,4400,10216.05,https://pravatar.cc70,2023-06-15
C-1071,Customer 71,cust71@example.com,Gold,4466,11789.36,https://pravatar.cc71,2023-07-12
C-1072,Customer 72,cust72@example.com,Gold,4723,10391.55,https://pravatar.cc72,2023-06-03
C-1073,Customer 73,cust73@example.com,Standard,875,2568.19,https://pravatar.cc73,2023-04-21
C-1074,Customer 74,cust74@example.com,Standard,532,14443.83,https://pravatar.cc74,2023-07-04
C-1075,Customer 75,cust75@example.com,Platinum,3499,2037.5,https://pravatar.cc75,2023-02-24
C-1076,Customer 76,cust76@example.com,Gold,2019,2201.36,https://pravatar.cc76,2023-07-18
C-1077,Customer 77,cust77@example.com,Silver,858,4120.27,https://pravatar.cc77,2023-01-27
C-1078,Customer 78,cust78@example.com,Silver,3405,902.85,https://pravatar.cc78,2023-02-13
C-1079,Customer 79,cust79@example.com,Platinum,1211,873.16,https://pravatar.cc79,2023-03-12
C-1080,Customer 80,cust80@example.com,Silver,4735,9684.12,https://pravatar.cc80,2023-03-09
C-1081,Customer 81,cust81@example.com,Platinum,4156,9299.58,https://pravatar.cc81,2023-11-17
C-1082,Customer 82,cust82@example.com,Silver,714,14519.29,https://pravatar.cc82,2023-04-16
C-1083,Customer 83,cust83@example.com,Platinum,4444,2442.97,https://pravatar.cc83,2023-10-20
C-1084,Customer 84,cust84@example.com,Gold,631,4634.41,https://pravatar.cc84,2023-06-25
C-1085,Customer 85,cust85@example.com,Silver,4519,14982.64,https://pravatar.cc85,2023-03-10
C-1086,Customer 86,cust86@example.com,Silver,1479,6382.06,https://pravatar.cc86,2023-09-21
C-1087,Customer 87,cust87@example.com,Platinum,537,7532.82,https://pravatar.cc87,2023-01-02
C-1088,Customer 88,cust88@example.com,Silver,510,11318.46,https://pravatar.cc88,2023-12-20
C-1089,Customer 89,cust89@example.com,Silver,3408,12840.93,https://pravatar.cc89,2023-12-13
C-1090,Customer 90,cust90@example.com,Gold,2067,11125.94,https://pravatar.cc90,2023-09-05
C-1091,Customer 91,cust91@example.com,Standard,872,11515.3,https://pravatar.cc91,2023-07-01
C-1092,Customer 92,cust92@example.com,Gold,2074,3602.2,https://pravatar.cc92,2023-04-28
C-1093,Customer 93,cust93@example.com,Standard,2836,1089.54,https://pravatar.cc93,2023-02-26
C-1094,Customer 94,cust94@example.com,Gold,4901,7438.96,https://pravatar.cc94,2023-01-16
C-1095,Customer 95,cust95@example.com,Gold,1882,11160.89,https://pravatar.cc95,2023-01-28
C-1096,Customer 96,cust96@example.com,Platinum,3167,8148.46,https://pravatar.cc96,2023-12-10
C-1097,Customer 97,cust97@example.com,Silver,2266,14384.17,https://pravatar.cc97,2023-01-09
C-1098,Customer 98,cust98@example.com,Standard,1268,7009.47,https://pravatar.cc98,2023-08-06
C-1099,Customer 99,cust99@example.com,Standard,4168,8517.84,https://pravatar.cc99,2023-01-13
C-1100,Customer 100,cust100@example.com,Standard,2626,2498.94,https://pravatar.cc100,2023-12-27
